vul,lmbda
0.925,0.017
0.926,0.017
0.927,0.015
0.928,0.015
0.929,0.015
0.93,0.015
0.931,0.015
0.932,0.015
0.933,0.015
0.934,0.015
0.935,0.013
0.936,0.013
0.937,0.013
0.938,0.013
0.939,0.013
0.94,0.013
0.941,0.013
0.942,0.013
0.943,0.013
0.944,0.011
0.945,0.011
0.946,0.011
0.947,0.011
0.948,0.011
0.949,0.011
0.95,0.011
0.951,0.011
0.952,0.011
0.953,0.009
0.954,0.009
0.955,0.009
0.956,0.009
0.957,0.009
0.958,0.009
0.959,0.009
0.96,0.009
0.961,0.009
0.962,0.007
0.963,0.007
0.964,0.007
0.965,0.007
0.966,0.007
0.967,0.007
0.968,0.007
0.969,0.007
0.97,0.007
0.971,0.005
0.972,0.005
0.973,0.005
0.974,0.005
0.975,0.005
0.976,0.005
0.977,0.005
0.978,0.005
0.979,0.005
0.98,0.005
0.981,0.003
0.982,0.003
0.983,0.003
0.984,0.003
0.985,0.003
0.986,0.003
0.987,0.003
0.988,0.003
0.989,0.003
0.99,0.003
0.991,0.001
0.992,0.001
0.993,0.001
0.994,0.001
0.995,0.001
0.996,0.001
0.997,0.001
0.998,0.001
0.999,0.001
